racing_number,position,gap_seconds,laps_behind,interval_seconds,catching,overtake_state,is_leader,leader_lap,pit_stops,is_out,timestamp_ms
5,,,0,,,neutral,false,,,,3399017
81,,,0,,,neutral,false,,,,3399017
1,,,0,,,neutral,false,,,,3399017
16,,,0,,,neutral,false,,,,3399282
12,,,0,,,neutral,false,,,,3399282
12,2,,0,,,gained_position,false,,,,3399454
16,3,,0,,,lost_position,false,,,,3399454
12,,0.296,0,0.296,,,false,,,,3399532
16,,0.368,0,0.072,,,false,,,,3399610
63,,0.85,0,0.482,,,false,,,,3400080
10,,1.179,0,0.329,,,false,,,,3400454
43,,,0,,,neutral,false,,,,3400529
87,,,0,,,neutral,false,,,,3400529
6,,1.285,0,0.106,,,false,,,,3400580
87,7,,0,,,gained_position,false,,,,3400692
43,8,,0,,,lost_position,false,,,,3400692
87,,1.528,0,0.243,,,false,,,,3400779
43,,1.764,0,0.236,,,false,,,,3401002
31,,2.108,0,0.344,,,false,,,,3401342
30,11,,0,,,lost_position,false,,,,3401433
41,10,,0,,,gained_position,false,,,,3401433
77,,,0,,,neutral,false,,,,3401478
14,,,0,,,neutral,false,,,,3401478
41,,2.27,0,0.162,,,false,,,,3401524
30,,2.373,0,0.103,,,false,,,,3401629
55,,2.766,0,0.393,,,false,,,,3402016
14,13,,0,,,gained_position,false,,,,3402202
77,14,,0,,,lost_position,false,,,,3402202
14,,3.045,0,0.279,,,false,,,,3402278
27,16,,0,,,lost_position,false,,,,3402296
11,15,,0,,,gained_position,false,,,,3402296
77,,3.06,0,0.015,,,false,,,,3402330
11,,3.144,0,0.084,,,false,,,,3402378
27,,3.269,0,0.125,,,false,,,,3402582
3,,3.533,0,0.264,,,false,,,,3402784
18,,4.01,0,0.477,,,false,,,,3403252
12,,,0,,,neutral,false,,,,3404441
16,,,0,,,neutral,false,,,,3404450
12,,0.811,0,0.811,,,false,,,,3405551
87,,,0,,,neutral,false,,,,3405683
43,,,0,,,neutral,false,,,,3405683
